time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:57.540Z,0.0290,0.0172,-0.1547,-0.0024,-0.0042,0.0035
2026-03-11T13:55:57.550Z,0.0232,0.0182,-0.1459,-0.0031,-0.0058,0.0020
2026-03-11T13:55:57.560Z,0.0080,0.0120,-0.1389,-0.0016,-0.0063,0.0035
2026-03-11T13:55:57.570Z,0.0254,0.0039,-0.1372,-0.0022,-0.0089,0.0031
2026-03-11T13:55:57.580Z,0.0124,0.0142,-0.1261,-0.0011,-0.0031,0.0021
2026-03-11T13:55:57.590Z,0.0078,0.0221,-0.1425,0.0007,-0.0057,0.0030
2026-03-11T13:55:57.600Z,0.0157,0.0170,-0.1279,-0.0051,-0.0038,0.0033
2026-03-11T13:55:57.610Z,0.0113,0.0272,-0.1359,-0.0024,-0.0055,0.0048
2026-03-11T13:55:57.620Z,0.0114,0.0131,-0.1251,-0.0042,-0.0043,0.0027
2026-03-11T13:55:57.630Z,0.0241,0.0236,-0.1387,-0.0013,-0.0056,0.0035
2026-03-11T13:55:57.640Z,0.0092,0.0175,-0.1222,-0.0034,-0.0041,0.0019
2026-03-11T13:55:57.651Z,0.0254,0.0250,-0.1324,-0.0033,-0.0031,0.0028
2026-03-11T13:55:57.660Z,0.0133,0.0138,-0.1181,-0.0010,-0.0038,0.0040
2026-03-11T13:55:57.670Z,0.0189,0.0123,-0.1477,-0.0014,-0.0031,0.0039
2026-03-11T13:55:57.680Z,0.0257,0.0052,-0.1192,-0.0020,-0.0040,0.0040
2026-03-11T13:55:57.690Z,0.0120,0.0180,-0.1240,-0.0020,-0.0030,0.0033
2026-03-11T13:55:57.700Z,0.0097,0.0284,-0.1326,-0.0036,-0.0037,0.0040
2026-03-11T13:55:57.710Z,0.0093,0.0248,-0.1234,-0.0034,-0.0038,0.0041
2026-03-11T13:55:57.719Z,0.0090,0.0170,-0.1517,-0.0028,-0.0046,0.0032
2026-03-11T13:55:57.730Z,0.0176,0.0171,-0.1324,-0.0023,-0.0045,0.0049
